Comparison,Mean_Difference,Std_Error,CI_Lower,CI_Upper,P_Value,Significant
T-Learner vs X-Learner,28.970695469682134,19.113095938671744,-10.321764046091163,66.8727309675936,0.128,False
T-Learner vs S-Learner,15.32470496167302,13.832694012022749,-9.262497359089686,44.81843986176159,0.296,False
