Model,Qini Coefficient,AUUC,Mean Predicted CATE,Std Predicted CATE,Qini Rank,AUUC Rank
Uplift RF (CausalML),30.85457390152669,0.003240536124411,0.001691622990907192,0.006309328211357872,1,1
Causal Forest (EconML),24.662077690947648,0.0029314845271889464,0.001810734441248725,0.009619527783991444,2,2
