Model,Qini_Coefficient,AUUC,Mean_Predicted_Uplift
T-Learner,35.18548628615693,0.003389387706236864,0.0017739711297091666
S-Learner,19.25020835676736,0.0028192034706008193,0.001016027170228972
X-Learner,6.618691799131867,0.002612178104631731,0.0012052461951315655
