Feature,Correlation with Uplift
f4,0.7023433817824843
f9,0.6135332596163156
f8,-0.5927261914482669
f11,-0.5625903116691708
f3,-0.5091526862864033
f10,0.44164448677481705
f6,-0.40552265667467324
f5,-0.3574632106483386
f1,0.2781224496644293
f7,0.20834893637086124
f0,-0.15833585048360616
f2,0.003325088727428145
